Date,open,high,low,close,Volume,OpenInt
10/7/16,40.227,40.472,40.227,40.472,1530,0
10/10/16,40.374,40.412,40.365,40.412,2754,0
10/11/16,39.903,40.227,39.903,40.07,18704,0
10/12/16,40.08,40.648,40.009,40.159,36707,0
10/13/16,40.013,40.09,39.738,40.041,16663,0
10/14/16,39.857,40.472,39.857,40.266,32044,0
10/17/16,40.236,40.236,40.236,40.236,100,0
10/18/16,40.103,40.731,39.367,40.201,18137,0
10/19/16,40.367,40.612,40.367,40.456,13326,0
10/20/16,40.249,40.514,40.239,40.239,20368,0
10/21/16,40.093,40.298,40.093,40.142,23433,0
10/24/16,40.22,40.395,40.215,40.308,24949,0
10/25/16,40.239,40.529,40.239,40.367,9477,0
10/26/16,40.269,40.731,40.248,40.455,39011,0
10/27/16,40.152,40.395,40.073,40.289,34442,0
10/28/16,40.053,40.313,40.022,40.122,48707,0
10/31/16,40.191,40.504,39.957,39.957,39020,0
11/1/16,40.188,40.329,40.188,40.201,22220,0
11/2/16,40.142,40.477,40.142,40.327,59876,0
11/3/16,40.289,40.514,40.225,40.347,23029,0
11/4/16,40.347,40.465,40.249,40.337,38905,0
11/7/16,39.839,40.435,39.839,40.435,5790,0
11/8/16,40.198,40.391,39.957,40.279,20075,0
11/9/16,40.063,40.279,40.063,40.171,18237,0
11/10/16,39.377,40.249,39.377,39.651,33725,0
11/11/16,39.484,39.74,39.427,39.455,40245,0
11/14/16,39.052,40.083,39.052,40.083,14841,0
11/15/16,39.357,39.631,39.268,39.533,19769,0
11/16/16,39.374,39.544,39.17,39.17,27736,0
11/17/16,39.21,39.604,39.15,39.15,32868,0
11/18/16,39.082,39.972,39.082,39.358,26260,0
11/21/16,39.298,39.418,39.043,39.21,39483,0
11/22/16,39.158,39.534,39.158,39.504,35517,0
11/23/16,39.2,39.22,38.847,38.847,12518,0
11/25/16,38.906,39.269,38.906,39.072,24321,0
11/28/16,39.229,39.643,39.092,39.092,29307,0
11/29/16,39.358,39.398,39.16,39.358,28704,0
11/30/16,39.121,39.633,38.993,39.318,35753,0
12/1/16,39.269,39.418,39.17,39.259,23585,0
12/2/16,39.063,39.564,39.013,39.418,53620,0
12/5/16,39.408,39.564,39.219,39.437,27994,0
12/6/16,39.404,39.841,39.404,39.702,27982,0
12/7/16,39.633,39.871,39.398,39.851,37297,0
12/8/16,39.683,40.036,39.48,39.594,45267,0
12/9/16,39.388,39.861,39.357,39.722,53886,0
12/12/16,39.494,39.574,39.385,39.388,17137,0
12/13/16,39.466,39.751,39.2,39.418,76984,0
